"Animal","Age","Time of death","Death cause","Total population"
"SQUIRREL","0","1","EATEN","6342"
"SQUIRREL","0","1","HUNGER","6341"
"SQUIRREL","0","1","HUNGER","6340"
"SQUIRREL","0","1","HUNGER","6339"
"SQUIRREL","2","1","EATEN","6338"
"SQUIRREL","2","1","HUNGER","6337"
"SQUIRREL","1","1","HUNGER","6336"
"HAWK","3","1","HUNGER","6335"
"HAWK","1","1","HUNGER","6334"
"SQUIRREL","1","1","HUNGER","6333"
"SQUIRREL","2","1","EATEN","6332"
"SQUIRREL","0","1","HUNGER","6331"
"SQUIRREL","1","1","EATEN","6330"
"HAWK","5","1","HUNGER","6329"
"HAWK","7","1","HUNGER","6328"
"HAWK","3","1","HUNGER","6327"
"SQUIRREL","1","1","HUNGER","6326"
"SQUIRREL","0","1","EATEN","6325"
"HAWK","0","1","HUNGER","6324"
"SQUIRREL","2","1","EATEN","6323"
"SQUIRREL","2","1","HUNGER","6322"
"HAWK","6","1","HUNGER","6321"
"HAWK","7","1","HUNGER","6320"
"HAWK","5","1","HUNGER","6319"
"SQUIRREL","1","1","HUNGER","6318"
"SQUIRREL","0","1","HUNGER","6317"
"SQUIRREL","2","1","HUNGER","6316"
"HAWK","3","1","HUNGER","6315"
"SQUIRREL","0","1","HUNGER","6314"
"HAWK","6","1","HUNGER","6313"
"HAWK","5","1","HUNGER","6312"
"HAWK","6","1","HUNGER","6311"
"HAWK","1","1","HUNGER","6310"
"SQUIRREL","0","1","HUNGER","6309"
"HAWK","4","1","HUNGER","6308"
"SQUIRREL","2","1","HUNGER","6307"
"SQUIRREL","1","1","HUNGER","6306"
"HAWK","9","1","AGE","6305"
"SQUIRREL","0","1","EATEN","6304"
"SQUIRREL","1","1","HUNGER","6303"
"SQUIRREL","1","1","HUNGER","6302"
"SQUIRREL","2","1","HUNGER","6301"
"SQUIRREL","0","1","HUNGER","6300"
"HAWK","7","1","HUNGER","6299"
"HAWK","7","1","HUNGER","6298"
"SQUIRREL","0","1","EATEN","6297"
"SQUIRREL","0","1","EATEN","6296"
"HAWK","9","1","HUNGER","6295"
"SQUIRREL","1","1","EATEN","6294"
"HAWK","6","1","HUNGER","6293"
"SQUIRREL","0","1","EATEN","6292"
"SQUIRREL","1","1","HUNGER","6291"
"HAWK","9","1","HUNGER","6290"
"SQUIRREL","2","1","HUNGER","6289"
"SQUIRREL","2","1","EATEN","6288"
"SQUIRREL","2","1","HUNGER","6287"
"SQUIRREL","2","1","EATEN","6286"
"HAWK","3","1","HUNGER","6285"
"HAWK","10","1","AGE","6284"
"HAWK","4","1","HUNGER","6283"
"SQUIRREL","2","1","HUNGER","6282"
"SQUIRREL","2","1","HUNGER","6281"
"SQUIRREL","0","1","HUNGER","6280"
"SQUIRREL","2","1","HUNGER","6279"
"SQUIRREL","1","1","EATEN","6278"
"HAWK","7","1","HUNGER","6277"
"HAWK","8","1","HUNGER","6276"
"SQUIRREL","0","1","EATEN","6275"
"SQUIRREL","0","1","HUNGER","6274"
"SQUIRREL","1","1","HUNGER","6273"
"SQUIRREL","1","1","EATEN","6272"
"SQUIRREL","2","1","EATEN","6271"
"SQUIRREL","2","1","HUNGER","6270"
"SQUIRREL","1","1","HUNGER","6269"
"HAWK","0","1","HUNGER","6268"
"SQUIRREL","1","1","HUNGER","6267"
"SQUIRREL","2","1","HUNGER","6266"
"SQUIRREL","2","1","EATEN","6265"
"HAWK","3","1","HUNGER","6264"
"SQUIRREL","2","1","HUNGER","6263"
"SQUIRREL","0","1","EATEN","6262"
"SQUIRREL","1","1","HUNGER","6261"
"SQUIRREL","1","1","EATEN","6260"
"HAWK","0","1","HUNGER","6259"
"HAWK","5","1","HUNGER","6258"
"HAWK","9","1","HUNGER","6257"
"HAWK","5","1","HUNGER","6256"
"SQUIRREL","1","1","HUNGER","6255"
"SQUIRREL","1","1","HUNGER","6254"
"SQUIRREL","1","1","HUNGER","6253"
"SQUIRREL","2","1","EATEN","6252"
"SQUIRREL","2","1","EATEN","6251"
"HAWK","0","1","HUNGER","6250"
"SQUIRREL","1","1","HUNGER","6249"
"HAWK","9","1","HUNGER","6248"
"SQUIRREL","1","1","HUNGER","6247"
"HAWK","10","1","AGE","6246"
"SQUIRREL","2","1","HUNGER","6245"
"HAWK","1","1","HUNGER","6244"
"HAWK","5","1","HUNGER","6243"
"SQUIRREL","2","1","HUNGER","6242"
"SQUIRREL","2","1","HUNGER","6241"
"HAWK","2","1","HUNGER","6240"
"HAWK","9","1","HUNGER","6239"
"SQUIRREL","0","1","HUNGER","6238"
"SQUIRREL","0","1","EATEN","6237"
"SQUIRREL","0","1","EATEN","6236"
"HAWK","9","1","HUNGER","6235"
"HAWK","1","1","HUNGER","6234"
"SQUIRREL","1","1","HUNGER","6233"
"HAWK","10","1","HUNGER","6232"
"SQUIRREL","0","1","EATEN","6231"
"HAWK","3","1","HUNGER","6230"
"SQUIRREL","2","1","EATEN","6229"
"SQUIRREL","2","1","HUNGER","6228"
"SQUIRREL","2","1","HUNGER","6227"
"HAWK","4","1","HUNGER","6226"
"HAWK","1","1","HUNGER","6225"
"SQUIRREL","2","1","EATEN","6224"
"HAWK","8","1","HUNGER","6223"
"SQUIRREL","1","1","HUNGER","6222"
"HAWK","4","1","HUNGER","6221"
"SQUIRREL","0","1","HUNGER","6220"
"SQUIRREL","1","1","HUNGER","6219"
"HAWK","2","1","HUNGER","6218"
"SQUIRREL","1","1","HUNGER","6217"
"HAWK","5","1","HUNGER","6216"
"SQUIRREL","1","1","EATEN","6215"
"HAWK","8","1","HUNGER","6214"
"SQUIRREL","0","1","HUNGER","6213"
"HAWK","9","1","HUNGER","6212"
"SQUIRREL","0","1","EATEN","6211"
"SQUIRREL","1","1","HUNGER","6210"
"HAWK","1","1","HUNGER","6209"
"SQUIRREL","0","1","EATEN","6208"
"SQUIRREL","2","1","EATEN","6207"
"SQUIRREL","0","1","HUNGER","6206"
"SQUIRREL","0","1","HUNGER","6205"
"HAWK","0","1","HUNGER","6204"
"HAWK","6","1","HUNGER","6203"
"SQUIRREL","0","1","HUNGER","6202"
"SQUIRREL","0","1","HUNGER","6201"
